,dataset,method,strategy,model,og_or_samp,balanced_accuracy,f1,precision,recall
0,ecoli,SMOTE,minority,SVM,og,-0.12525252525252517,-0.05357361331118238,-0.12525252525252517,0.0005025981770168109
2,ecoli,SMOTE,minority,KNN,og,-0.17070707070707059,-0.08954795204795207,-0.17070707070707059,-0.021359959555106167
4,ecoli,SMOTE,minority,Tree,og,-0.09090909090909094,-0.0733628419021678,-0.09090909090909094,-0.05943084693084699
6,ecoli,SMOTE,minority,Logistic,og,-0.10858585858585856,-0.0006378678792472448,-0.10858585858585856,0.07898449234766369
8,ecoli,SMOTE,not minority,SVM,og,0.0,0.0,0.0,0.0
10,ecoli,SMOTE,not minority,KNN,og,0.0,0.0,0.0,0.0
12,ecoli,SMOTE,not minority,Tree,og,0.005555555555555647,0.013015298673268672,0.005555555555555647,0.016810057758333663
14,ecoli,SMOTE,not minority,Logistic,og,0.0,0.0,0.0,0.0
16,ecoli,SMOTE,not majority,SVM,og,-0.12525252525252517,-0.05357361331118238,-0.12525252525252517,0.0005025981770168109
18,ecoli,SMOTE,not majority,KNN,og,-0.17070707070707059,-0.08954795204795207,-0.17070707070707059,-0.021359959555106167
20,ecoli,SMOTE,not majority,Tree,og,-0.017676767676767624,0.02604081854203999,-0.017676767676767624,0.09026345994431095
22,ecoli,SMOTE,not majority,Logistic,og,-0.10858585858585856,-0.0006378678792472448,-0.10858585858585856,0.07898449234766369
24,ecoli,SMOTE,all,SVM,og,-0.12525252525252517,-0.05357361331118238,-0.12525252525252517,0.0005025981770168109
26,ecoli,SMOTE,all,KNN,og,-0.1595959595959595,-0.056132373373752875,-0.1595959595959595,0.017994154183412325
28,ecoli,SMOTE,all,Tree,og,-0.11414141414141421,-0.05387824449357237,-0.11414141414141421,0.021468748908220592
30,ecoli,SMOTE,all,Logistic,og,-0.10303030303030303,0.0147004580032285,-0.10303030303030303,0.0953960770618707
32,ecoli,SMOTEN,minority,SVM,og,-0.09747474747474749,0.023579414287515865,-0.09747474747474749,0.08419481752815083
34,ecoli,SMOTEN,minority,KNN,og,-0.017676767676767624,0.04288211788211771,-0.017676767676767624,0.09608190091001001
36,ecoli,SMOTEN,minority,Tree,og,-0.022222222222222254,-0.06172984319051722,-0.022222222222222254,-0.10379928042971509
38,ecoli,SMOTEN,minority,Logistic,og,-0.09747474747474749,0.0292529176250107,-0.09747474747474749,0.11008942469287408
40,ecoli,SMOTEN,not minority,SVM,og,0.0,0.0,0.0,0.0
42,ecoli,SMOTEN,not minority,KNN,og,0.0,0.0,0.0,0.0
44,ecoli,SMOTEN,not minority,Tree,og,-0.10202020202020212,-0.10628781899500128,-0.10202020202020212,-0.11098901098901082
46,ecoli,SMOTEN,not minority,Logistic,og,0.0,0.0,0.0,0.0
48,ecoli,SMOTEN,not majority,SVM,og,-0.09747474747474749,0.023579414287515865,-0.09747474747474749,0.08419481752815083
50,ecoli,SMOTEN,not majority,KNN,og,-0.02323232323232327,0.029095424349661503,-0.02323232323232327,0.0791479260369814
52,ecoli,SMOTEN,not majority,Tree,og,-0.06767676767676778,-0.09268275980140395,-0.06767676767676778,-0.11040951385778974
54,ecoli,SMOTEN,not majority,Logistic,og,-0.09191919191919196,0.0430995810452518,-0.09191919191919196,0.12332259796027922
56,ecoli,SMOTEN,all,SVM,og,-0.09747474747474749,0.023579414287515865,-0.09747474747474749,0.08419481752815083
58,ecoli,SMOTEN,all,KNN,og,-0.017676767676767624,0.04288211788211771,-0.017676767676767624,0.09608190091001001
60,ecoli,SMOTEN,all,Tree,og,-0.045454545454545414,-0.035107188698348946,-0.045454545454545414,-0.02343212343212353
62,ecoli,SMOTEN,all,Logistic,og,-0.09747474747474749,0.0292529176250107,-0.09747474747474749,0.11008942469287408
64,ecoli,SVMSMOTE,minority,SVM,og,-0.12525252525252517,-0.05357361331118238,-0.12525252525252517,0.0005025981770168109
66,ecoli,SVMSMOTE,minority,KNN,og,-0.17070707070707059,-0.08954795204795207,-0.17070707070707059,-0.021359959555106167
68,ecoli,SVMSMOTE,minority,Tree,og,-0.07424242424242422,-0.018430809521969627,-0.07424242424242422,0.02330266632592204
70,ecoli,SVMSMOTE,minority,Logistic,og,-0.10858585858585856,-0.0006378678792472448,-0.10858585858585856,0.07898449234766369
72,ecoli,SVMSMOTE,not minority,SVM,og,0.0,0.0,0.0,0.0
74,ecoli,SVMSMOTE,not minority,KNN,og,0.0,0.0,0.0,0.0
76,ecoli,SVMSMOTE,not minority,Tree,og,0.06868686868686869,0.021243825652716652,0.06868686868686869,-0.046120103300954285
78,ecoli,SVMSMOTE,not minority,Logistic,og,0.0,0.0,0.0,0.0
80,ecoli,SVMSMOTE,not majority,SVM,og,-0.12525252525252517,-0.05357361331118238,-0.12525252525252517,0.0005025981770168109
82,ecoli,SVMSMOTE,not majority,KNN,og,-0.17070707070707059,-0.08954795204795207,-0.17070707070707059,-0.021359959555106167
84,ecoli,SVMSMOTE,not majority,Tree,og,0.0,0.0,0.0,0.0
86,ecoli,SVMSMOTE,not majority,Logistic,og,-0.10858585858585856,-0.0006378678792472448,-0.10858585858585856,0.07898449234766369
88,ecoli,SVMSMOTE,all,SVM,og,-0.12525252525252517,-0.05357361331118238,-0.12525252525252517,0.0005025981770168109
90,ecoli,SVMSMOTE,all,KNN,og,-0.17070707070707059,-0.08954795204795207,-0.17070707070707059,-0.021359959555106167
92,ecoli,SVMSMOTE,all,Tree,og,0.06767676767676767,0.10272439668470723,0.06767676767676767,0.15417888563049853
94,ecoli,SVMSMOTE,all,Logistic,og,-0.1141414141414141,-0.016853886853886668,-0.1141414141414141,0.060532111395282806
96,ecoli,ADASYN,minority,SVM,og,-0.12525252525252517,-0.05357361331118238,-0.12525252525252517,0.0005025981770168109
98,ecoli,ADASYN,minority,KNN,og,-0.1141414141414141,-0.02959706959706976,-0.1141414141414141,0.03667412617220789
100,ecoli,ADASYN,minority,Tree,og,-0.09090909090909094,-0.07557871996790533,-0.09090909090909094,-0.060371650821088974
102,ecoli,ADASYN,minority,Logistic,og,-0.10303030303030303,0.0147004580032285,-0.10303030303030303,0.0953960770618707
104,ecoli,ADASYN,not minority,SVM,og,0.0,0.0,0.0,0.0
106,ecoli,ADASYN,not minority,KNN,og,0.0,0.0,0.0,0.0
108,ecoli,ADASYN,not minority,Tree,og,0.01666666666666672,0.05171429567460628,0.01666666666666672,0.10316878462039758
110,ecoli,ADASYN,not minority,Logistic,og,0.0,0.0,0.0,0.0
112,ecoli,ADASYN,not majority,SVM,og,-0.12525252525252517,-0.05357361331118238,-0.12525252525252517,0.0005025981770168109
114,ecoli,ADASYN,not majority,KNN,og,-0.1595959595959595,-0.056132373373752875,-0.1595959595959595,0.017994154183412325
116,ecoli,ADASYN,not majority,Tree,og,-0.0853535353535354,-0.06580409808250298,-0.0853535353535354,-0.024047229366378264
118,ecoli,ADASYN,not majority,Logistic,og,-0.10303030303030303,0.0147004580032285,-0.10303030303030303,0.0953960770618707
120,ecoli,ADASYN,all,SVM,og,-0.12525252525252517,-0.05357361331118238,-0.12525252525252517,0.0005025981770168109
122,ecoli,ADASYN,all,KNN,og,-0.17070707070707059,-0.08954795204795207,-0.17070707070707059,-0.021359959555106167
124,ecoli,ADASYN,all,Tree,og,0.011111111111111183,0.030709099027095954,0.011111111111111183,0.05061736016792184
126,ecoli,ADASYN,all,Logistic,og,-0.09747474747474749,0.0292529176250107,-0.09747474747474749,0.11008942469287408
128,optical_digits,SMOTE,minority,SVM,og,-0.02042644261255555,-0.009027525762796085,-0.02042644261255555,0.0034690086012475474
130,optical_digits,SMOTE,minority,KNN,og,-0.019491122384273862,0.008418967246476505,-0.019491122384273862,0.03572154338637057
132,optical_digits,SMOTE,minority,Tree,og,0.009365091946734294,0.007667241327238283,0.009365091946734294,0.005469860671936777
134,optical_digits,SMOTE,minority,Logistic,og,-0.03875634115408999,0.029086895134717627,-0.03875634115408999,0.08719443214798239
136,optical_digits,SMOTE,not minority,SVM,og,0.0,0.0,0.0,0.0
138,optical_digits,SMOTE,not minority,KNN,og,0.0,0.0,0.0,0.0
140,optical_digits,SMOTE,not minority,Tree,og,0.010680881420418453,0.013119593008428798,0.010680881420418453,0.015939993981001654
142,optical_digits,SMOTE,not minority,Logistic,og,0.0,0.0,0.0,0.0
144,optical_digits,SMOTE,not majority,SVM,og,-0.014402346227013307,-0.005558922807120448,-0.014402346227013307,0.004273146908213343
146,optical_digits,SMOTE,not majority,KNN,og,-0.019820069752694902,0.00687936409811174,-0.019820069752694902,0.033162977367135804
148,optical_digits,SMOTE,not majority,Tree,og,-0.015060240963855387,-0.009930344704233596,-0.015060240963855387,-0.0041199089261201305
150,optical_digits,SMOTE,not majority,Logistic,og,-0.03771797717184533,0.023512367452546035,-0.03771797717184533,0.07804693415371766
152,optical_digits,SMOTE,all,SVM,og,-0.01741439441978443,-0.007297944294790026,-0.01741439441978443,0.0038708304935913818
154,optical_digits,SMOTE,all,KNN,og,-0.019162175015852823,0.009950741251289141,-0.019162175015852823,0.03825168910472665
156,optical_digits,SMOTE,all,Tree,og,-0.03614457831325302,-0.024133872633965936,-0.03614457831325302,-0.010413687107488911
158,optical_digits,SMOTE,all,Logistic,og,-0.045438332276474314,0.02314162441949552,-0.045438332276474314,0.08182070984129775
160,optical_digits,SMOTEN,minority,SVM,og,-0.008049302473050135,-0.00042386240041469847,-0.008049302473050135,0.008109434815006256
162,optical_digits,SMOTEN,minority,KNN,og,-0.0020252060875078914,0.0031431484873665205,-0.0020252060875078914,0.008840089781398497
164,optical_digits,SMOTEN,minority,Tree,og,-0.02890773620798992,0.006828271163564659,-0.02890773620798992,0.04251721888930704
166,optical_digits,SMOTEN,minority,Logistic,og,-0.021845275840202905,0.005442155673259119,-0.021845275840202905,0.03515707751217689
168,optical_digits,SMOTEN,not minority,SVM,og,0.0,0.0,0.0,0.0
170,optical_digits,SMOTEN,not minority,KNN,og,0.0,0.0,0.0,0.0
172,optical_digits,SMOTEN,not minority,Tree,og,-0.0009868421052631193,-0.004257531109883139,-0.0009868421052631193,-0.008217015454977772
174,optical_digits,SMOTEN,not minority,Logistic,og,0.0,0.0,0.0,0.0
176,optical_digits,SMOTEN,not majority,SVM,og,-0.005037254280279013,0.0013435761689815084,-0.005037254280279013,0.008531989951023555
